Year,Month,State/UT,Tourism Category,Tourist Count,Revenue (INR),Popular Destinations,Purpose of Visit
2000,January,Andhra Pradesh,Domestic,17775,11099767.19,Top places in Andhra Pradesh,Business
2000,January,Arunachal Pradesh,International,16621,10649723.18,Top places in Arunachal Pradesh,Education
2000,January,Assam,International,67675,55624888.55,Top places in Assam,Leisure
2000,January,Bihar,Domestic,41539,30591740.19,Top places in Bihar,Leisure
2000,January,Chhattisgarh,Total,64375,37929192.28,Top places in Chhattisgarh,Business
2000,January,Goa,Total,25879,31411704.85,Top places in Goa,Pilgrimage
2000,January,Gujarat,International,93284,93588013.46,Top places in Gujarat,Medical
2000,January,Haryana,International,82011,122717146.9,Top places in Haryana,Education
2000,January,Himachal Pradesh,Domestic,35042,48580704.92,Top places in Himachal Pradesh,Education
2000,January,Jharkhand,Domestic,52513,74686700.88,Top places in Jharkhand,Education
2000,January,Karnataka,International,50013,27004342.58,Top places in Karnataka,Pilgrimage
2000,January,Kerala,Total,58641,38508825.04,Top places in Kerala,Medical
2000,January,Madhya Pradesh,Domestic,55680,77554178.76,Top places in Madhya Pradesh,Business
2000,January,Maharashtra,Domestic,26981,29417322.74,Top places in Maharashtra,Leisure
2000,January,Manipur,Total,75479,93795290.71,Top places in Manipur,Business
2000,January,Meghalaya,International,83664,117910838,Top places in Meghalaya,Business
2000,January,Mizoram,International,37300,55561798.7,Top places in Mizoram,Medical
2000,January,Nagaland,Total,63948,36583969.91,Top places in Nagaland,Pilgrimage
2000,January,Odisha,Total,92717,120920271,Top places in Odisha,Medical
2000,January,Punjab,Domestic,54487,40438486.93,Top places in Punjab,Medical
2000,January,Rajasthan,Total,45663,61095996.91,Top places in Rajasthan,Medical
2000,January,Sikkim,Domestic,77492,100120210.9,Top places in Sikkim,Education
2000,January,Tamil Nadu,International,28225,14858454.72,Top places in Tamil Nadu,Business
2000,January,Telangana,Domestic,74463,54733971.71,Top places in Telangana,Leisure
2000,January,Tripura,International,58137,63346330.56,Top places in Tripura,Medical
2000,January,Uttar Pradesh,Total,6483,6938458.98,Top places in Uttar Pradesh,Pilgrimage
2000,January,Uttarakhand,Total,58624,78371230.3,Top places in Uttarakhand,Pilgrimage
2000,January,West Bengal,Total,48908,26100460.02,Top places in West Bengal,Education
2000,January,Delhi,Total,84628,54306339.88,Top places in Delhi,Business
2000,January,Puducherry,Total,41657,55967904.55,Top places in Puducherry,Business
2000,January,Jammu & Kashmir,International,94730,54900359.96,Top places in Jammu & Kashmir,Business
2000,January,Ladakh,Total,40669,54249322.17,Top places in Ladakh,Education
2000,January,Andaman & Nicobar,Domestic,22336,16882066.98,Top places in Andaman & Nicobar,Medical
2000,January,Chandigarh,Total,75943,63897951.02,Top places in Chandigarh,Leisure
2000,January,Dadra & Nagar Haveli and Daman & Diu,Domestic,72328,63219095.62,Top places in Dadra & Nagar Haveli and Daman & Diu,Medical
2000,January,Lakshadweep,Domestic,55824,42990771.55,Top places in Lakshadweep,Medical
2000,February,Andhra Pradesh,Total,80452,95072374.82,Top places in Andhra Pradesh,Leisure
2000,February,Arunachal Pradesh,Total,71283,46397879.89,Top places in Arunachal Pradesh,Medical
2000,February,Assam,International,52023,61066904.39,Top places in Assam,Leisure
2000,February,Bihar,Domestic,99185,133990433.4,Top places in Bihar,Medical
2000,February,Chhattisgarh,Total,78832,89943413.3,Top places in Chhattisgarh,Business
2000,February,Goa,Domestic,57779,37222815.1,Top places in Goa,Medical
2000,February,Gujarat,Domestic,59786,34473992.99,Top places in Gujarat,Medical
2000,February,Haryana,International,96356,119119946,Top places in Haryana,Leisure
2000,February,Himachal Pradesh,Domestic,50998,73925407.47,Top places in Himachal Pradesh,Medical
2000,February,Jharkhand,Total,36870,29986007.26,Top places in Jharkhand,Medical
2000,February,Karnataka,International,98668,78212846.5,Top places in Karnataka,Pilgrimage
2000,February,Kerala,International,91005,65775431.56,Top places in Kerala,Education
2000,February,Madhya Pradesh,International,99657,77120519.12,Top places in Madhya Pradesh,Leisure
2000,February,Maharashtra,International,43889,45252449.7,Top places in Maharashtra,Business
2000,February,Manipur,Total,63579,51144198.59,Top places in Manipur,Education
2000,February,Meghalaya,Domestic,37264,55233935.47,Top places in Meghalaya,Leisure
2000,February,Mizoram,International,72406,66293857.18,Top places in Mizoram,Business
2000,February,Nagaland,International,79188,91179446.62,Top places in Nagaland,Education
2000,February,Odisha,Total,92008,65028558.09,Top places in Odisha,Pilgrimage
2000,February,Punjab,Total,94236,85441588.36,Top places in Punjab,Leisure
2000,February,Rajasthan,International,79979,69183272.53,Top places in Rajasthan,Pilgrimage
